Month,Avg_sunspot_count
01-01-1749,97
02-01-1749,104
03-01-1749,117
04-01-1749,93
05-01-1749,142
06-01-1749,139
07-01-1749,158
08-01-1749,111
09-01-1749,127
10-01-1749,126
11-01-1749,264
12-01-1749,142
01-01-1750,122
02-01-1750,127
03-01-1750,149
04-01-1750,147
05-01-1750,150
06-01-1750,167
07-01-1750,142
08-01-1750,172
09-01-1750,152
10-01-1750,110
11-01-1750,106
12-01-1750,126
01-01-1751,117
02-01-1751,73
03-01-1751,76
04-01-1751,94
05-01-1751,101
06-01-1751,85
07-01-1751,111
08-01-1751,100
09-01-1751,39
10-01-1751,39
11-01-1751,48
12-01-1751,73
01-01-1752,58
02-01-1752,83
03-01-1752,118
04-01-1752,99
05-01-1752,100
06-01-1752,66
07-01-1752,131
08-01-1752,49
09-01-1752,45
10-01-1752,78
11-01-1752,63
12-01-1752,67
01-01-1753,73
02-01-1753,53
03-01-1753,76
04-01-1753,63
05-01-1753,60
06-01-1753,53
07-01-1753,37
08-01-1753,65
09-01-1753,47
10-01-1753,42
11-01-1753,33
12-01-1753,11
01-01-1754,0
02-01-1754,5
03-01-1754,3
04-01-1754,23
05-01-1754,35
06-01-1754,45
07-01-1754,31
08-01-1754,21
09-01-1754,14
10-01-1754,40
11-01-1754,22
12-01-1754,7
01-01-1755,17
02-01-1755,19
03-01-1755,11
04-01-1755,11
05-01-1755,0
06-01-1755,0
07-01-1755,14
08-01-1755,5
09-01-1755,30
10-01-1755,40
11-01-1755,11
12-01-1755,33
01-01-1756,21
02-01-1756,12
03-01-1756,9
04-01-1756,16
05-01-1756,21
06-01-1756,22
07-01-1756,6
08-01-1756,11
09-01-1756,20
10-01-1756,24
11-01-1756,28
12-01-1756,16
01-01-1757,24
02-01-1757,35
03-01-1757,44
04-01-1757,50
05-01-1757,64
06-01-1757,21
07-01-1757,42
08-01-1757,86
09-01-1757,66
10-01-1757,54
11-01-1757,108
12-01-1757,56
01-01-1758,63
02-01-1758,87
03-01-1758,82
04-01-1758,121
05-01-1758,77
06-01-1758,75
07-01-1758,73
08-01-1758,65
09-01-1758,104
10-01-1758,63
11-01-1758,72
12-01-1758,72
01-01-1759,81
02-01-1759,73
03-01-1759,78
04-01-1759,78
05-01-1759,82
06-01-1759,83
07-01-1759,85
08-01-1759,119
09-01-1759,129
10-01-1759,100
11-01-1759,77
12-01-1759,95
01-01-1760,112
02-01-1760,99
03-01-1760,125
04-01-1760,97
05-01-1760,120
06-01-1760,81
07-01-1760,110
08-01-1760,126
09-01-1760,102
10-01-1760,84
11-01-1760,100
12-01-1760,102
01-01-1761,117
02-01-1761,152
03-01-1761,135
04-01-1761,120
05-01-1761,179
06-01-1761,166
07-01-1761,157
08-01-1761,152
09-01-1761,168
10-01-1761,148
11-01-1761,150
12-01-1761,77
01-01-1762,73
02-01-1762,121
03-01-1762,76
04-01-1762,100
05-01-1762,67
06-01-1762,129
07-01-1762,56
08-01-1762,113
09-01-1762,114
10-01-1762,116
11-01-1762,130
12-01-1762,129
01-01-1763,94
02-01-1763,53
03-01-1763,57
04-01-1763,55
05-01-1763,55
06-01-1763,60
07-01-1763,90
08-01-1763,44
09-01-1763,114
10-01-1763,77
11-01-1763,102
12-01-1763,102
01-01-1764,100
02-01-1764,100
03-01-1764,67
04-01-1764,57
05-01-1764,74
06-01-1764,50
07-01-1764,50
08-01-1764,50
09-01-1764,47
10-01-1764,47
11-01-1764,43
12-01-1764,43
01-01-1765,40
02-01-1765,43
03-01-1765,42
04-01-1765,37
05-01-1765,34
06-01-1765,33
07-01-1765,45
08-01-1765,50
09-01-1765,27
10-01-1765,23
11-01-1765,23
12-01-1765,22
01-01-1766,20
02-01-1766,18
03-01-1766,61
04-01-1766,10
05-01-1766,45
06-01-1766,5
07-01-1766,6
08-01-1766,7
09-01-1766,7
10-01-1766,8
11-01-1766,10
12-01-1766,32
01-01-1767,46
02-01-1767,50
03-01-1767,72
04-01-1767,55
05-01-1767,50
06-01-1767,56
07-01-1767,37
08-01-1767,68
09-01-1767,71
10-01-1767,74
11-01-1767,91
12-01-1767,89
01-01-1768,89
02-01-1768,110
03-01-1768,77
04-01-1768,71
05-01-1768,130
06-01-1768,129
07-01-1768,88
08-01-1768,111
09-01-1768,125
10-01-1768,130
11-01-1768,151
12-01-1768,186
01-01-1769,123
02-01-1769,107
03-01-1769,107
04-01-1769,161
05-01-1769,123
06-01-1769,157
07-01-1769,198
08-01-1769,201
09-01-1769,248
10-01-1769,264
11-01-1769,247
12-01-1769,187
01-01-1770,173
02-01-1770,238
03-01-1770,134
04-01-1770,85
05-01-1770,117
06-01-1770,139
07-01-1770,183
08-01-1770,211
09-01-1770,174
10-01-1770,173
11-01-1770,220
12-01-1770,171
01-01-1771,60
02-01-1771,77
03-01-1771,78
04-01-1771,108
05-01-1771,255
06-01-1771,199
07-01-1771,113
08-01-1771,98
09-01-1771,169
10-01-1771,150
11-01-1771,166
12-01-1771,160
01-01-1772,168
02-01-1772,151
03-01-1772,52
04-01-1772,154
05-01-1772,63
06-01-1772,95
07-01-1772,129
08-01-1772,94
09-01-1772,84
10-01-1772,131
11-01-1772,102
12-01-1772,107
01-01-1773,91
02-01-1773,48
03-01-1773,85
04-01-1773,55
05-01-1773,69
06-01-1773,47
07-01-1773,46
08-01-1773,21
09-01-1773,49
10-01-1773,44
11-01-1773,68
12-01-1773,72
01-01-1774,78
02-01-1774,109
03-01-1774,93
04-01-1774,73
05-01-1774,86
06-01-1774,48
07-01-1774,29
08-01-1774,11
09-01-1774,13
10-01-1774,23
11-01-1774,30
12-01-1774,20
01-01-1775,7
02-01-1775,0
03-01-1775,19
04-01-1775,19
05-01-1775,7
06-01-1775,21
07-01-1775,2
08-01-1775,13
09-01-1775,5
10-01-1775,9
11-01-1775,25
12-01-1775,13
01-01-1776,36
02-01-1776,19
03-01-1776,11
04-01-1776,36
05-01-1776,19
06-01-1776,32
07-01-1776,2
08-01-1776,40
09-01-1776,27
10-01-1776,50
11-01-1776,58
12-01-1776,67
01-01-1777,75
02-01-1777,61
03-01-1777,65
04-01-1777,159
05-01-1777,134
06-01-1777,135
07-01-1777,158
08-01-1777,187
09-01-1777,194
10-01-1777,178
11-01-1777,243
12-01-1777,262
01-01-1778,296
02-01-1778,182
03-01-1778,223
04-01-1778,242
05-01-1778,398
06-01-1778,286
07-01-1778,255
08-01-1778,233
09-01-1778,286
10-01-1778,261
11-01-1778,251
12-01-1778,175
01-01-1779,191
02-01-1779,276
03-01-1779,197
04-01-1779,242
05-01-1779,233
06-01-1779,190
07-01-1779,238
08-01-1779,187
09-01-1779,185
10-01-1779,207
11-01-1779,190
12-01-1779,183
01-01-1780,117
02-01-1780,163
03-01-1780,163
04-01-1780,158
05-01-1780,179
06-01-1780,147
07-01-1780,143
08-01-1780,143
09-01-1780,156
10-01-1780,128
11-01-1780,100
12-01-1780,98
01-01-1781,165
02-01-1781,125
03-01-1781,88
04-01-1781,114
05-01-1781,175
06-01-1781,163
07-01-1781,123
08-01-1781,110
09-01-1781,85
10-01-1781,46
11-01-1781,112
12-01-1781,59
01-01-1782,90
02-01-1782,63
03-01-1782,62
04-01-1782,68
05-01-1782,91
06-01-1782,63
07-01-1782,62
08-01-1782,73
09-01-1782,57
10-01-1782,39
11-01-1782,53
12-01-1782,50
01-01-1783,47
02-01-1783,65
03-01-1783,45
04-01-1783,47
05-01-1783,38
06-01-1783,42
07-01-1783,54
08-01-1783,33
09-01-1783,30
10-01-1783,13
11-01-1783,25
12-01-1783,18
01-01-1784,22
02-01-1784,13
03-01-1784,18
04-01-1784,17
05-01-1784,10
06-01-1784,15
07-01-1784,10
08-01-1784,17
09-01-1784,17
10-01-1784,13
11-01-1784,28
12-01-1784,23
01-01-1785,11
02-01-1785,13
03-01-1785,15
04-01-1785,26
05-01-1785,35
06-01-1785,44
07-01-1785,61
08-01-1785,33
09-01-1785,53
10-01-1785,79
11-01-1785,67
12-01-1785,46
01-01-1786,62
02-01-1786,79
03-01-1786,80
04-01-1786,142
05-01-1786,154
06-01-1786,98
07-01-1786,138
08-01-1786,150
09-01-1786,186
10-01-1786,187
11-01-1786,193
12-01-1786,188
01-01-1787,225
02-01-1787,177
03-01-1787,146
04-01-1787,212
05-01-1787,225
06-01-1787,165
07-01-1787,213
08-01-1787,229
09-01-1787,262
10-01-1787,262
11-01-1787,236
12-01-1787,290
01-01-1788,230
02-01-1788,215
03-01-1788,239
04-01-1788,181
05-01-1788,188
06-01-1788,257
07-01-1788,236
08-01-1788,227
09-01-1788,235
10-01-1788,237
11-01-1788,158
12-01-1788,216
01-01-1789,190
02-01-1789,209
03-01-1789,200
04-01-1789,206
05-01-1789,206
06-01-1789,200
07-01-1789,195
08-01-1789,172
09-01-1789,187
10-01-1789,150
11-01-1789,223
12-01-1789,226
01-01-1790,172
02-01-1790,213
03-01-1790,161
04-01-1790,157
05-01-1790,155
06-01-1790,152
07-01-1790,116
08-01-1790,145
09-01-1790,129
10-01-1790,141
11-01-1790,137
12-01-1790,123
01-01-1791,121
02-01-1791,103
03-01-1791,123
04-01-1791,129
05-01-1791,123
06-01-1791,107
07-01-1791,118
08-01-1791,72
09-01-1791,111
10-01-1791,103
11-01-1791,112
12-01-1791,110
01-01-1792,97
02-01-1792,107
03-01-1792,105
04-01-1792,126
05-01-1792,103
06-01-1792,102
07-01-1792,76
08-01-1792,100
09-01-1792,98
10-01-1792,98
11-01-1792,95
12-01-1792,93
01-01-1793,93
02-01-1793,92
03-01-1793,93
04-01-1793,88
05-01-1793,87
06-01-1793,85
07-01-1793,83
08-01-1793,49
09-01-1793,40
10-01-1793,78
11-01-1793,73
12-01-1793,76
01-01-1794,75
02-01-1794,73
03-01-1794,63
04-01-1794,47
05-01-1794,93
06-01-1794,69
07-01-1794,68
08-01-1794,67
09-01-1794,19
10-01-1794,48
11-01-1794,112
12-01-1794,86
01-01-1795,36
02-01-1795,67
03-01-1795,21
04-01-1795,31
05-01-1795,52
06-01-1795,29
07-01-1795,22
08-01-1795,43
09-01-1795,23
10-01-1795,33
11-01-1795,42
12-01-1795,30
01-01-1796,37
02-01-1796,40
03-01-1796,26
04-01-1796,53
05-01-1796,35
06-01-1796,11
07-01-1796,45
08-01-1796,3
09-01-1796,31
10-01-1796,18
11-01-1796,14
12-01-1796,9
01-01-1797,24
02-01-1797,7
03-01-1797,7
04-01-1797,7
05-01-1797,12
06-01-1797,19
07-01-1797,7
08-01-1797,10
09-01-1797,10
10-01-1797,12
11-01-1797,10
12-01-1797,5
01-01-1798,3
02-01-1798,7
03-01-1798,21
04-01-1798,2
05-01-1798,0
06-01-1798,0
07-01-1798,0
08-01-1798,5
09-01-1798,4
10-01-1798,3
11-01-1798,21
12-01-1798,17
01-01-1799,3
02-01-1799,21
03-01-1799,36
04-01-1799,14
05-01-1799,14
06-01-1799,18
07-01-1799,4
08-01-1799,0
09-01-1799,0
10-01-1799,8
11-01-1799,5
12-01-1799,14
01-01-1800,12
02-01-1800,16
03-01-1800,23
04-01-1800,0
05-01-1800,8
06-01-1800,40
07-01-1800,35
08-01-1800,33
09-01-1800,19
10-01-1800,21
11-01-1800,18
12-01-1800,67
01-01-1801,45
02-01-1801,48
03-01-1801,50
04-01-1801,52
05-01-1801,53
06-01-1801,52
07-01-1801,58
08-01-1801,65
09-01-1801,56
10-01-1801,54
11-01-1801,66
12-01-1801,80
01-01-1802,80
02-01-1802,78
03-01-1802,68
04-01-1802,70
05-01-1802,73
06-01-1802,77
07-01-1802,80
08-01-1802,83
09-01-1802,86
10-01-1802,64
11-01-1802,58
12-01-1802,83
01-01-1803,83
02-01-1803,85
03-01-1803,49
04-01-1803,42
05-01-1803,74
06-01-1803,60
07-01-1803,81
08-01-1803,57
09-01-1803,76
10-01-1803,91
11-01-1803,85
12-01-1803,80
01-01-1804,76
02-01-1804,81
03-01-1804,80
04-01-1804,84
05-01-1804,56
06-01-1804,58
07-01-1804,50
08-01-1804,72
09-01-1804,88
10-01-1804,104
11-01-1804,102
12-01-1804,100
01-01-1805,102
02-01-1805,74
03-01-1805,86
04-01-1805,63
05-01-1805,65
06-01-1805,68
07-01-1805,63
08-01-1805,71
09-01-1805,74
10-01-1805,49
11-01-1805,68
12-01-1805,64
01-01-1806,65
02-01-1806,49
03-01-1806,55
04-01-1806,46
05-01-1806,44
06-01-1806,43
07-01-1806,50
08-01-1806,44
09-01-1806,40
10-01-1806,45
11-01-1806,42
12-01-1806,40
01-01-1807,20
02-01-1807,20
03-01-1807,16
04-01-1807,40
05-01-1807,17
06-01-1807,20
07-01-1807,21
08-01-1807,20
09-01-1807,10
10-01-1807,13
11-01-1807,4
12-01-1807,0
01-01-1808,0
02-01-1808,8
03-01-1808,0
04-01-1808,21
05-01-1808,23
06-01-1808,23
07-01-1808,11
08-01-1808,13
09-01-1808,20
10-01-1808,8
11-01-1808,18
12-01-1808,21
01-01-1809,12
02-01-1809,15
03-01-1809,2
04-01-1809,4
05-01-1809,3
06-01-1809,13
07-01-1809,1
08-01-1809,0
09-01-1809,1
10-01-1809,0
11-01-1809,0
12-01-1809,0
01-01-1810,0
02-01-1810,0
03-01-1810,0
04-01-1810,0
05-01-1810,0
06-01-1810,0
07-01-1810,0
08-01-1810,0
09-01-1810,0
10-01-1810,0
11-01-1810,0
12-01-1810,0
01-01-1811,0
02-01-1811,0
03-01-1811,0
04-01-1811,0
05-01-1811,0
06-01-1811,0
07-01-1811,11
08-01-1811,0
09-01-1811,4
10-01-1811,10
11-01-1811,1
12-01-1811,2
01-01-1812,19
02-01-1812,3
03-01-1812,1
04-01-1812,0
05-01-1812,2
06-01-1812,2
07-01-1812,1
08-01-1812,26
09-01-1812,9
10-01-1812,7
11-01-1812,13
12-01-1812,17
01-01-1813,0
02-01-1813,17
03-01-1813,3
04-01-1813,28
05-01-1813,9
06-01-1813,19
07-01-1813,31
08-01-1813,14
09-01-1813,26
10-01-1813,46
11-01-1813,28
12-01-1813,24
01-01-1814,37
02-01-1814,20
03-01-1814,10
04-01-1814,40
05-01-1814,10
06-01-1814,25
07-01-1814,31
08-01-1814,4
09-01-1814,14
10-01-1814,32
11-01-1814,24
12-01-1814,34
01-01-1815,32
02-01-1815,54
03-01-1815,44
04-01-1815,53
05-01-1815,16
06-01-1815,93
07-01-1815,59
08-01-1815,79
09-01-1815,53
10-01-1815,56
11-01-1815,62
12-01-1815,108
01-01-1816,44
02-01-1816,115
03-01-1816,123
04-01-1816,98
05-01-1816,74
06-01-1816,73
07-01-1816,65
08-01-1816,39
09-01-1816,80
10-01-1816,94
11-01-1816,64
12-01-1816,50
01-01-1817,61
02-01-1817,97
03-01-1817,160
04-01-1817,44
05-01-1817,35
06-01-1817,67
07-01-1817,83
08-01-1817,75
09-01-1817,61
10-01-1817,43
11-01-1817,48
12-01-1817,47
01-01-1818,58
02-01-1818,37
03-01-1818,42
04-01-1818,58
05-01-1818,89
06-01-1818,61
07-01-1818,47
08-01-1818,53
09-01-1818,43
10-01-1818,53
11-01-1818,18
12-01-1818,43
01-01-1819,55
02-01-1819,35
03-01-1819,6
04-01-1819,34
05-01-1819,33
06-01-1819,58
07-01-1819,53
08-01-1819,44
09-01-1819,25
10-01-1819,46
11-01-1819,42
12-01-1819,51
01-01-1820,32
02-01-1820,44
03-01-1820,8
04-01-1820,32
05-01-1820,49
06-01-1820,18
07-01-1820,34
08-01-1820,43
09-01-1820,9
10-01-1820,15
11-01-1820,13
12-01-1820,15
01-01-1821,36
02-01-1821,7
03-01-1821,10
04-01-1821,15
05-01-1821,3
06-01-1821,3
07-01-1821,4
08-01-1821,8
09-01-1821,7
10-01-1821,31
11-01-1821,7
12-01-1821,0
01-01-1822,0
02-01-1822,2
03-01-1822,27
04-01-1822,22
05-01-1822,2
06-01-1822,9
07-01-1822,13
08-01-1822,3
09-01-1822,0
10-01-1822,1
11-01-1822,0
12-01-1822,0
01-01-1823,0
02-01-1823,0
03-01-1823,1
04-01-1823,0
05-01-1823,0
06-01-1823,0
07-01-1823,1
08-01-1823,0
09-01-1823,0
10-01-1823,0
11-01-1823,0
12-01-1823,34
01-01-1824,36
02-01-1824,18
03-01-1824,0
04-01-1824,32
05-01-1824,5
06-01-1824,0
07-01-1824,0
08-01-1824,2
09-01-1824,34
10-01-1824,42
11-01-1824,0
12-01-1824,1
01-01-1825,8
02-01-1825,26
03-01-1825,37
04-01-1825,6
05-01-1825,26
06-01-1825,26
07-01-1825,52
08-01-1825,43
09-01-1825,26
10-01-1825,26
11-01-1825,20
12-01-1825,37
01-01-1826,29
02-01-1826,30
03-01-1826,61
04-01-1826,40
05-01-1826,54
06-01-1826,62
07-01-1826,88
08-01-1826,66
09-01-1826,32
10-01-1826,84
11-01-1826,66
12-01-1826,114
01-01-1827,58
02-01-1827,79
03-01-1827,96
04-01-1827,77
05-01-1827,94
06-01-1827,94
07-01-1827,70
08-01-1827,89
09-01-1827,83
10-01-1827,94
11-01-1827,80
12-01-1827,77
01-01-1828,88
02-01-1828,107
03-01-1828,109
04-01-1828,102
05-01-1828,149
06-01-1828,163
07-01-1828,90
08-01-1828,127
09-01-1828,84
10-01-1828,91
11-01-1828,95
12-01-1828,78
01-01-1829,72
02-01-1829,82
03-01-1829,121
04-01-1829,158
05-01-1829,112
06-01-1829,123
07-01-1829,152
08-01-1829,129
09-01-1829,88
10-01-1829,95
11-01-1829,113
12-01-1829,94
01-01-1830,87
02-01-1830,120
03-01-1830,141
04-01-1830,177
05-01-1830,111
06-01-1830,108
07-01-1830,73
08-01-1830,85
09-01-1830,103
10-01-1830,141
11-01-1830,135
12-01-1830,137
01-01-1831,79
02-01-1831,84
03-01-1831,156
04-01-1831,91
05-01-1831,63
06-01-1831,56
07-01-1831,75
08-01-1831,92
09-01-1831,63
10-01-1831,77
11-01-1831,73
12-01-1831,48
01-01-1832,52
02-01-1832,93
03-01-1832,92
04-01-1832,45
05-01-1832,69
06-01-1832,45
07-01-1832,23
08-01-1832,15
09-01-1832,14
10-01-1832,35
11-01-1832,24
12-01-1832,46
01-01-1833,19
02-01-1833,25
03-01-1833,20
04-01-1833,5
05-01-1833,22
06-01-1833,2
07-01-1833,12
08-01-1833,10
09-01-1833,19
10-01-1833,13
11-01-1833,10
12-01-1833,17
01-01-1834,8
02-01-1834,30
03-01-1834,7
04-01-1834,2
05-01-1834,15
06-01-1834,13
07-01-1834,14
08-01-1834,7
09-01-1834,19
10-01-1834,41
11-01-1834,51
12-01-1834,58
01-01-1835,12
02-01-1835,41
03-01-1835,33
04-01-1835,102
05-01-1835,73
06-01-1835,55
07-01-1835,100
08-01-1835,99
09-01-1835,168
10-01-1835,159
11-01-1835,167
12-01-1835,129
01-01-1836,148
02-01-1836,179
03-01-1836,164
04-01-1836,238
05-01-1836,186
06-01-1836,208
07-01-1836,195
08-01-1836,180
09-01-1836,159
